titulo|tipo_vehiculo|marca|modelo|año|precio|detalle|combustible|transmision|caja|kilometraje|ubicacion|url_auto|tags|tipo|pagina
Toyota Yaris Cross 2025|autos|Toyota|Yaris Cross|2025|US$ 23,990|"Gasolina|Automática - Secuencial
Kilometraje:
80,000 Kms
Lima, Lima
Camioneta En Excelente Estado"|Gasolina|Automática|Secuencial|80000.0|Lima, Lima|https://neoauto.com/auto/seminuevo/land-rover-range-rover-sport-2010-1824823|DE LUJO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Audi Rs6 Avant 2017|autos|Audi|Rs6 Avant|2017|US$ 20,000|"Gasolina|Mecánica
Kilometraje:
19,297 Kms
Lima, Lima
TOYOTA YARIS CROSS 1.5 FULL M/T"|Gasolina|Mecánica||19297.0|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-yaris-cross-2025-1843681|SEMINUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Lexus Rx 350 F-Sport 2019|autos|Lexus|Rx 350 F-Sport|2019|US$ 84,900|"Gasolina|Automática - Secuencial
Kilometraje:
25,000 Kms
Lima, Lima
Auto En Execlente Estado"|Gasolina|Automática|Secuencial|25000.0|Lima, Lima|https://neoauto.com/auto/seminuevo/audi-rs6-avant-2017-1832784|UNICO DUEÑO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Land Rover Range Rover Sport 2019|autos|Land Rover|Range Rover Sport|2019|US$ 34,000|"Gasolina-Híbrido|Automática - Secuencial
Kilometraje:
66,078 Kms
Arequipa, Arequipa
LEXUS RX HV F SPORT"|Gasolina-Híbrido|Automática|Secuencial|66078.0|Arequipa, Arequipa|https://neoauto.com/auto/seminuevo/lexus-rx-350-f-sport-2019-1844636|SEMINUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Jeep Gladiator 2021|autos|Jeep|Gladiator|2021|US$ 58,900|"Gasolina|Automática - Secuencial
Kilometraje:
29,000 Kms
Lima, Lima
Camioneta Disponible En Tienda - Pezet - San Isidro"|Gasolina|Automática|Secuencial|29000.0|Lima, Lima|https://neoauto.com/auto/seminuevo/land-rover-range-rover-sport-2019-1846405|SERVICIO CONCESIONARIO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Hyundai Creta Grand 2025|autos|Hyundai|Creta Grand|2025|US$ 64,900|"Gasolina|Automática - Secuencial
Kilometraje:
29,927 Kms
Lima, Lima
JEEP GLADIATOR RUBICON - 2021 - 100% FACTURABLE"|Gasolina|Automática|Secuencial|29927.0|Lima, Lima|https://neoauto.com/auto/seminuevo/jeep-gladiator-2021-1799649|DE LUJO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Mercedes Benz Slk230 Kompresor 1997|autos|Mercedes Benz|Slk230 Kompresor|1997|US$ 25,490|"Gasolina|Automática
Kilometraje:
17 Kms
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN FULL"|Gasolina|Automática||17.0|Lima, Lima|https://neoauto.com/auto/seminuevo/hyundai-creta-grand-2025-1842220|SEMINUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Volkswagen Tiguan Allspace 2018|autos|Volkswagen|Tiguan Allspace|2018|US$ 19,500|"Gasolina|Automática - Secuencial
Kilometraje:
37,000 Kms
Lima, Lima
Auto En Excelente Estado - Disponible En Tienda"|Gasolina|Automática|Secuencial|37000.0|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-slk230-kompresor-1997-1807174|DE LUJO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Mazda Cx-9 2024|autos|Mazda|Cx-9|2024|US$ 18,500|"Gasolina|Automática
Kilometraje:
59,121 Kms
Lima, Lima
VOLKSWAGEN TIGUAN 4X4 ALL SPACE COMFORLINE 2.0T DSG"|Gasolina|Automática||59121.0|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-allspace-2018-1846298|SEMINUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
Chevrolet Tracker 2025|autos|Chevrolet|Tracker|2025|US$ 32,500|"Gasolina|Automática
Kilometraje:
20,135 Kms
Lima, Lima"|Gasolina|Automática||20135.0|Lima, Lima|https://neoauto.com/auto/seminuevo/mazda-cx-9-2024-1843729|SEMINUEVO|seminuevos|https://neoauto.com/venta-de-autos-seminuevos?page=4
